frame, timestamp, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
62,2.43009,0.0778572,0,0,0,1.38721,2.88214,0.983979,2.88624,0.115632,0,1.65224,4.4632,0.141173,0.190013,0,0,0.605328
63,2.46993,0.0336569,0,0,0,1.43765,2.96137,1.03706,2.82944,0.124754,0,1.91995,4.72024,0.388812,0.092233,0,0.119181,0.70635
64,2.50977,0.129054,0,0,0,1.43998,2.9401,1.12327,2.85338,0.10285,0,1.82058,4.67813,0.557352,0.092233,0,0.119181,0.665613
65,2.5496,0.288869,0,0,0,1.36675,2.93851,1.05946,2.92876,0.0763315,0,1.96909,4.72597,0.562806,0,0,0.119181,0.622093
66,2.58944,0.463638,0,0,0,1.27406,2.81603,1.04402,2.95725,0.0538281,0,1.83083,4.56876,0.443561,0,0,0,0.527365
67,2.62928,0.45554,0,0,0,1.23922,2.76935,1.0745,2.81985,0.0674001,0,1.73039,4.65851,0.444458,0,0,0,0.501985
68,2.66912,0.447841,0,0,0,1.228,2.72962,1.1832,2.70132,0.0514564,0,1.73584,4.44277,0.602461,0,0,0,0.541039
69,2.70895,0.464787,0,0,0,1.18671,2.73394,1.06692,2.69327,0.0298435,0,1.78464,4.45568,0.519743,0,0,0,0.560726
70,2.74879,0.534984,0,0,0,1.0919,2.54092,0.985809,2.70327,0.00321587,0,1.68667,4.11544,0.548817,0,0,0,0.47933
71,2.78863,0.629257,0,0,0,1.00459,2.37698,0.909552,2.75591,0,0,1.63152,3.86885,0.404687,0,0,0,0.377639
72,2.82847,0.754229,0,0,0,0.959084,2.21957,0.878088,2.76598,0,0,1.86453,3.81059,0.322654,0.0757233,0,0.0485476,0.2347
73,2.8683,0.787079,0,0,0,0.952433,2.2001,0.845128,2.71538,0,0,2.17298,3.81105,0.446395,0.0760298,0,0.0485476,0.221839
74,2.90814,0.878506,0,0,0,0.949845,2.24021,0.772612,2.71702,0,0,2.28078,4.06,0.50529,0.0760298,0,0.0485476,0.201248
75,2.94798,0.816965,0,0,0.103259,0.926931,2.26062,0.812628,2.61685,0,0,2.04893,4.04448,0.723279,0.000306429,0,0,0.271528
76,2.98782,0.885562,0,0,0.103259,0.931552,2.31499,0.703068,2.531,0,0,2.23248,4.34645,0.626248,0,9.97E-05,0,0.311696
77,3.02766,0.836652,0,0,0.103259,0.908958,2.35551,0.693201,2.34647,0,0,2.2761,4.27599,0.625579,0.0124518,9.97E-05,0,0.32921
78,3.06749,0.930956,0,0,0,0.888948,2.43498,0.731534,2.26968,0,0,2.32617,4.02049,0.513988,0.0196681,9.97E-05,0,0.288293
79,3.10733,0.88581,0,0,0,0.896868,2.53687,0.72519,2.29272,0,0,2.08653,3.88958,0.412237,0.0875753,0,0,0.251456
80,3.14717,0.941534,0,0,0,0.905584,2.6055,0.781665,2.34275,0,0,2.06803,3.85582,0.310976,0.138261,0,0,0.232277
81,3.18701,0.969887,0.153254,0,0.00471191,0.887481,2.42703,0.688134,2.28196,0,0,1.86818,3.93292,0.187128,0.330154,0.00143431,0,0.190765
82,3.22684,1.07938,0.182096,0,0.00471191,0.792799,2.25359,0.613965,2.15796,0,0,1.79894,3.50163,0.063661,0.487751,0.00143431,0,0.118815
83,3.26668,1.07147,0.255737,0,0.00471191,0.745645,2.13219,0.428176,1.96895,0,0,1.56262,3.20501,0.0595724,0.700731,0.00143431,0,0.0522882
